,paper_url,paper_title,paper_arxiv_id,paper_url_abs,paper_url_pdf,repo_url,is_official,mentioned_in_paper,mentioned_in_github,framework,readme_url
0,https://paperswithcode.com/paper/cross-modal-distillation-for-supervision,Cross Modal Distillation for Supervision Transfer,1507.00448,http://arxiv.org/abs/1507.00448v2,http://arxiv.org/pdf/1507.00448v2.pdf,https://github.com/s-gupta/fast-rcnn,True,True,True,caffe2,https://raw.githubusercontent.com/s-gupta/fast-rcnn/master/README.md
1,https://paperswithcode.com/paper/differentiable-quantum-architecture-search,Differentiable Quantum Architecture Search,2010.08561,https://arxiv.org/abs/2010.08561v2,https://arxiv.org/pdf/2010.08561v2.pdf,https://github.com/refraction-ray/tensorcircuit,True,True,True,tf,https://raw.githubusercontent.com/refraction-ray/tensorcircuit/master/README.md
2,https://paperswithcode.com/paper/learning-2d-3d-correspondences-to-solve-the,Learning 2D-3D Correspondences To Solve The Blind Perspective-n-Point Problem,2003.06752,https://arxiv.org/abs/2003.06752v1,https://arxiv.org/pdf/2003.06752v1.pdf,https://github.com/Liumouliu/Deep_blind_PnP,True,True,True,pytorch,https://raw.githubusercontent.com/Liumouliu/Deep_blind_PnP/master/README.md
3,https://paperswithcode.com/paper/hardware-distortion-correlation-has,Hardware Distortion Correlation Has Negligible Impact on UL Massive MIMO Spectral Efficiency,1811.02007,https://arxiv.org/abs/1811.02007v2,https://arxiv.org/pdf/1811.02007v2.pdf,https://github.com/emilbjornson/distortion-correlation,True,True,True,none,https://raw.githubusercontent.com/emilbjornson/distortion-correlation/master/README.md
4,https://paperswithcode.com/paper/sequential-attend-infer-repeat-generative,"Sequential Attend, Infer, Repeat: Generative Modelling of Moving Objects",1806.01794,http://arxiv.org/abs/1806.01794v2,http://arxiv.org/pdf/1806.01794v2.pdf,https://github.com/akosiorek/sqair,True,True,True,tf,https://raw.githubusercontent.com/akosiorek/sqair/master/README.md
5,https://paperswithcode.com/paper/melody-generation-for-pop-music-via-word,Melody Generation for Pop Music via Word Representation of Musical Properties,1710.11549,http://arxiv.org/abs/1710.11549v1,http://arxiv.org/pdf/1710.11549v1.pdf,https://github.com/mil-tokyo/NeuralMelody,True,True,True,none,https://raw.githubusercontent.com/mil-tokyo/NeuralMelody/master/README.md
6,https://paperswithcode.com/paper/colorization-as-a-proxy-task-for-visual,Colorization as a Proxy Task for Visual Understanding,1703.04044,http://arxiv.org/abs/1703.04044v3,http://arxiv.org/pdf/1703.04044v3.pdf,https://github.com/gustavla/self-supervision,True,True,True,tf,https://raw.githubusercontent.com/gustavla/self-supervision/master/README.rst
7,https://paperswithcode.com/paper/sgdlibrary-a-matlab-library-for-stochastic,SGDLibrary: A MATLAB library for stochastic gradient descent algorithms,1710.10951,http://arxiv.org/abs/1710.10951v2,http://arxiv.org/pdf/1710.10951v2.pdf,https://github.com/hiroyuki-kasai/SGDLibrary,True,True,True,none,https://raw.githubusercontent.com/hiroyuki-kasai/SGDLibrary/master/README.md
8,https://paperswithcode.com/paper/adaptive-path-integral-autoencoder,Adaptive Path-Integral Autoencoder: Representation Learning and Planning for Dynamical Systems,1807.02128,http://arxiv.org/abs/1807.02128v4,http://arxiv.org/pdf/1807.02128v4.pdf,https://github.com/yjparkLiCS/18-NIPS-APIAE,True,True,True,tf,https://raw.githubusercontent.com/yjparkLiCS/18-NIPS-APIAE/master/README.md
9,https://paperswithcode.com/paper/stratification-of-patient-trajectories-using,Stratification of patient trajectories using covariate latent variable models,1610.08735,http://arxiv.org/abs/1610.08735v2,http://arxiv.org/pdf/1610.08735v2.pdf,https://github.com/kieranrcampbell/clvm,True,True,True,none,https://raw.githubusercontent.com/kieranrcampbell/clvm/master/README.md
